id,date,mean_profit,mean_reward,last_profit,last_reward
0,0,17_20_23,0.477861148956079,3.5688574399999924,0.398942302429462,-28.198558000000066
1,1,17_20_43,0.4919908573437712,5.4574003799999975,0.6600004265931257,11.174287000000094
2,2,17_20_59,0.4809062167801562,3.288735780000012,0.5273182906496315,3.7528609999999394
3,3,17_23_02,2.5675105658700823,125.41934162000004,0.4170324925205148,-8.415702999999958
4,4,18_00_22,2.5720990638774683,137.413854,0.34505110075678136,43.734274999999954
5,5,18_12_04,1.0383191042717743,51.0264225,0.5089309148809698,10.935686999999943
6,6,18_13_22,3.9237852124498214,1197.0260154599969,0.12826624250784832,3029.853751999989
7,7,18_14_54,3.9519276913636174,81.71199995999993,0.4676881498979549,-28.69856599999999
8,8,18_15_15,5.4230365391954365,129.12446333999998,5.323653992496002,158.95568900000023
9,9,18_15_27,3.6973414047021937,85.60302639999998,10.473763558862652,188.04423500000016
10,10,18_15_56,33.37386291809421,1018.6247672400008,13.48560522672055,1012.1641249999997
11,11,18_16_34,26.022468543155856,1382.7653318399978,23.925050323856073,1366.6984329999984
12,12,18_17_06,8.614901532732105,4453.002794520003,13.923570823009813,5787.583825000012
13,13,18_18_09,8.09334248653688,1967.3242248799966,18.76912942930267,2023.833100999998
14,14,18_18_51,19.79461346649893,984.3369401600003,0.7977580554925183,2.4428630000000098
15,15,18_19_27,2.7639452728599947,507.8349679400003,1.3543243548038608,902.0300289999992
16,16,18_19_54,6.313142864588156,207.22544696000008,4.973258110115678,167.24999099999974
17,17,18_20_30,22.68428962470523,992.0195492399997,30.21390147660832,960.1015669999997
18,18,18_21_13,8.445135591574315,730.1800819199997,12.301050023648429,802.7845450000003
19,19,18_21_51,15.148092052306351,474.5206510399999,25.794712020889282,480.68408499999947
20,20,18_22_18,5.843209480814527,349.65176380000014,15.725410705964965,733.6929389999996
